"mon.yr","price","time","change","unsold","months"
"May-21",725680,8,0.81,2,137
"Jun-21",796120,8,0.42,1.8,138
"Jul-21",809750,8,0.06,2,139
"Aug-21",830070,9,0.07,2,140
"Sep-21",886050,10,0.02,2,141
"Oct-21",848970,10,-0.08,2,142
"Nov-21",769500,11,0.02,1.4,143
"Dec-21",826500,12,-0.09,1.3,144
"Jan-22",800960,13,-0.12,2,145
"Feb-22",773490,10,-0.07,2.2,146
"Mar-22",781050,8,-0.06,1.8,147
"Apr-22",801680,9,-0.13,1.9,148
"May-22",798720,9,-0.11,2.3,149
"Jun-22",860230,10,-0.21,2.5,150
"Jul-22",846320,13,-0.32,3.3,151
"Aug-22",854960,16,-0.29,3.1,152
"Sep-22",891770,21,-0.32,3.2,153
"Oct-22",854560,20,-0.4,2.4,154
"Nov-22",836630,23,-0.45,3.6,155
"Dec-22",799670,25.5,-0.48,3.1,156
